code,year,designation
1,1959,第一批上海市文物保护单位(1959)
2,1960,第二批上海市文物保护单位(1960)
3,1962,第三批上海市文物保护单位(1962)
11,1977,第一批上海市文物保护单位
12,1980,第二批上海市文物保护单位
13,1984,第三批上海市文物保护单位
14,1987,第四批上海市文物保护单位
15,1989,第五批上海市文物保护单位
16,1992,第六批上海市文物保护单位
17,2002,第七批上海市文物保护单位
18,2014,第八批上海市文物保护单位
21,1961,第一批全国重点文物保护单位
22,1982,第二批全国重点文物保护单位
23,1988,第三批全国重点文物保护单位
24,1996,第四批全国重点文物保护单位
25,2001,第五批全国重点文物保护单位
26,2006,第六批全国重点文物保护单位
27,2013,第七批全国重点文物保护单位
28,2019,第八批全国重点文物保护单位
31,1989,第一批上海市优秀历史建筑
32,1994,第二批上海市优秀历史建筑
33,1999,第三批上海市优秀历史建筑
34,2004,第四批上海市优秀历史建筑
35,2015,第五批上海市优秀历史建筑